input,output,type
OP:NAND,ERROR,ERROR_NAND
OP:EQU,ERROR,ERROR_EQU
OP:ORNOT,ERROR,ERROR_ORNOT
OP:AND,ERROR,ERROR_AND
OP:OR,ERROR,ERROR_OR
OP:NOT,ERROR,ERROR_NOT
OP:ECHO,ERROR,ERROR_ECHO
OP:XOR,ERROR,ERROR_XOR
OP:ANDNOT,ERROR,ERROR_ANDNOT
OP:NOR,ERROR,ERROR_NOR
NUM:472528986;OP:NOT,3822438309,NOT
NUM:649748086;OP:NOT,3645219209,NOT
NUM:899031914;OP:NOT,3395935381,NOT
NUM:409055256;OP:NOT,3885912039,NOT
NUM:263006281;OP:NOT,4031961014,NOT
NUM:352705974;OP:NOT,3942261321,NOT
NUM:300266711;OP:NOT,3994700584,NOT
NUM:483937670;OP:NOT,3811029625,NOT
NUM:138465895;OP:NOT,4156501400,NOT
NUM:886386096;OP:NOT,3408581199,NOT
NUM:110883596;OP:NOT,4184083699,NOT
NUM:605918185;OP:NOT,3689049110,NOT
NUM:952350203;OP:NOT,3342617092,NOT
NUM:268222269;OP:NOT,4026745026,NOT
NUM:115728911;OP:NOT,4179238384,NOT
NUM:142390585;OP:NOT,4152576710,NOT
NUM:618910733;OP:NOT,3676056562,NOT
NUM:583583820;OP:NOT,3711383475,NOT
NUM:292883039;OP:NOT,4002084256,NOT
NUM:751027422;OP:NOT,3543939873,NOT
NUM:75077881;OP:NOT,4219889414,NOT
NUM:185357197;OP:NOT,4109610098,NOT
NUM:474664381;OP:NOT,3820302914,NOT
NUM:65135004;OP:NOT,4229832291,NOT
NUM:684340498;OP:NOT,3610626797,NOT
NUM:875586942;OP:NOT,3419380353,NOT
NUM:170193559;OP:NOT,4124773736,NOT
NUM:692716059;OP:NOT,3602251236,NOT
NUM:990672457;OP:NOT,3304294838,NOT
NUM:672119023;OP:NOT,3622848272,NOT
NUM:416238227;OP:NOT,3878729068,NOT
NUM:622184777;OP:NOT,3672782518,NOT
NUM:548989092;OP:NOT,3745978203,NOT
NUM:385131668;OP:NOT,3909835627,NOT
NUM:578681146;OP:NOT,3716286149,NOT
NUM:982699538;OP:NOT,3312267757,NOT
NUM:437495366;OP:NOT,3857471929,NOT
NUM:309434936;OP:NOT,3985532359,NOT
NUM:752710877;OP:NOT,3542256418,NOT
NUM:543491505;OP:NOT,3751475790,NOT
NUM:650379552;OP:ECHO,650379552,ECHO
NUM:454970955;OP:ECHO,454970955,ECHO
NUM:991996499;OP:ECHO,991996499,ECHO
NUM:352445441;OP:ECHO,352445441,ECHO
NUM:382745450;OP:ECHO,382745450,ECHO
NUM:930155945;OP:ECHO,930155945,ECHO
NUM:676099722;OP:ECHO,676099722,ECHO
NUM:970809302;OP:ECHO,970809302,ECHO
NUM:549379799;OP:ECHO,549379799,ECHO
NUM:56225108;OP:ECHO,56225108,ECHO
NUM:362325346;OP:ECHO,362325346,ECHO
NUM:339011119;OP:ECHO,339011119,ECHO
NUM:983128557;OP:ECHO,983128557,ECHO
NUM:580194502;OP:ECHO,580194502,ECHO
