input,output,type
OP:NOT;NUM:472528986,3822438309,NOT
OP:NOT;NUM:649748086,3645219209,NOT
OP:NOT;NUM:899031914,3395935381,NOT
OP:NOT;NUM:185357197,4109610098,NOT
OP:NOT;NUM:474664381,3820302914,NOT
OP:NOT;NUM:409055256,3885912039,NOT
OP:NOT;NUM:263006281,4031961014,NOT
OP:NOT;NUM:352705974,3942261321,NOT
OP:NOT;NUM:300266711,3994700584,NOT
OP:NOT;NUM:138465895,4156501400,NOT
OP:NOT;NUM:886386096,3408581199,NOT
OP:NOT;NUM:110883596,4184083699,NOT
OP:NOT;NUM:605918185,3689049110,NOT
OP:NOT;NUM:952350203,3342617092,NOT
OP:NOT;NUM:142390585,4152576710,NOT
OP:NOT;NUM:115728911,4179238384,NOT
OP:NOT;NUM:618910733,3676056562,NOT
OP:NOT;NUM:583583820,3711383475,NOT
OP:NOT;NUM:292883039,4002084256,NOT
OP:NOT;NUM:751027422,3543939873,NOT
OP:NOT;NUM:75077881,4219889414,NOT
OP:NOT;NUM:684340498,3610626797,NOT
OP:NOT;NUM:875586942,3419380353,NOT
OP:NOT;NUM:170193559,4124773736,NOT
OP:NOT;NUM:692716059,3602251236,NOT
OP:NOT;NUM:990672457,3304294838,NOT
OP:NOT;NUM:672119023,3622848272,NOT
OP:NOT;NUM:416238227,3878729068,NOT
OP:NOT;NUM:622184777,3672782518,NOT
OP:NOT;NUM:548989092,3745978203,NOT
OP:NOT;NUM:268222270,4026745025,NOT
OP:NOT;NUM:578681146,3716286149,NOT
OP:NOT;NUM:385131668,3909835627,NOT
OP:NOT;NUM:982699538,3312267757,NOT
OP:NOT;NUM:483937670,3811029625,NOT
OP:NOT;NUM:65135005,4229832290,NOT
OP:NOT;NUM:437495366,3857471929,NOT
OP:NOT;NUM:309434936,3985532359,NOT
OP:NOT;NUM:752710877,3542256418,NOT
OP:NOT;NUM:543491505,3751475790,NOT
OP:NOT;NUM:0,4294967295,NOT
OP:ECHO;NUM:650379552,650379552,ECHO
OP:ECHO;NUM:454970955,454970955,ECHO
OP:ECHO;NUM:991996499,991996499,ECHO
OP:ECHO;NUM:352445441,352445441,ECHO
OP:ECHO;NUM:382745450,382745450,ECHO
OP:ECHO;NUM:930155945,930155945,ECHO
OP:ECHO;NUM:676099722,676099722,ECHO
OP:ECHO;NUM:970809302,970809302,ECHO
OP:ECHO;NUM:549379799,549379799,ECHO
OP:ECHO;NUM:56225108,56225108,ECHO
