input,output,type
OP:S0;OP:S0,0,S0;S0
OP:S0;OP:S1,1,S0;S1
OP:S0;OP:S2,2,S0;S2
OP:S0;OP:S3,3,S0;S3
OP:S0;OP:S4,4,S0;S4
OP:S1;OP:S0,1,S1;S0
OP:S1;OP:S1,2,S1;S1
OP:S1;OP:S2,3,S1;S2
OP:S1;OP:S3,4,S1;S3
OP:S1;OP:S4,0,S1;S4
OP:S2;OP:S0,2,S2;S0
OP:S2;OP:S1,3,S2;S1
OP:S2;OP:S2,4,S2;S2
OP:S2;OP:S3,0,S2;S3
OP:S2;OP:S4,1,S2;S4
OP:S3;OP:S0,3,S3;S0
OP:S3;OP:S1,4,S3;S1
OP:S3;OP:S2,0,S3;S2
OP:S3;OP:S3,1,S3;S3
OP:S3;OP:S4,2,S3;S4
OP:S4;OP:S0,4,S4;S0
OP:S4;OP:S1,0,S4;S1
OP:S4;OP:S2,1,S4;S2
OP:S4;OP:S3,2,S4;S3
OP:S4;OP:S4,3,S4;S4
