input,output,type
NUM:544186734;OP:NOT,3750780561,NOT
NUM:146896290;OP:NOT,4148071005,NOT
NUM:110689630;OP:NOT,4184277665,NOT
NUM:512881291;OP:NOT,3782086004,NOT
NUM:292902824;OP:NOT,4002064471,NOT
NUM:830909332;OP:NOT,3464057963,NOT
NUM:652223112;OP:NOT,3642744183,NOT
NUM:771679806;OP:NOT,3523287489,NOT
NUM:96343563;OP:NOT,4198623732,NOT
NUM:248468804;OP:NOT,4046498491,NOT
NUM:387261809;OP:NOT,3907705486,NOT
NUM:751746576;OP:NOT,3543220719,NOT
NUM:452852044;OP:NOT,3842115251,NOT
NUM:119518662;OP:NOT,4175448633,NOT
NUM:274367407;OP:NOT,4020599888,NOT
NUM:947738823;OP:NOT,3347228472,NOT
NUM:243955506;OP:NOT,4051011789,NOT
NUM:722345886;OP:NOT,3572621409,NOT
NUM:336796918;OP:NOT,3958170377,NOT
NUM:623571431;OP:NOT,3671395864,NOT
NUM:218030778;OP:NOT,4076936517,NOT
NUM:645746268;OP:NOT,3649221027,NOT
NUM:566785355;OP:NOT,3728181940,NOT
NUM:636278896;OP:NOT,3658688399,NOT
NUM:784034059;OP:NOT,3510933236,NOT
NUM:44657151;OP:NOT,4250310144,NOT
NUM:763141834;OP:NOT,3531825461,NOT
NUM:582108766;OP:NOT,3712858529,NOT
NUM:427478144;OP:NOT,3867489151,NOT
NUM:127102002;OP:NOT,4167865293,NOT
NUM:600233008;OP:NOT,3694734287,NOT
NUM:546865679;OP:NOT,3748101616,NOT
NUM:114833754;OP:NOT,4180133541,NOT
NUM:333892463;OP:NOT,3961074832,NOT
NUM:214008888;OP:NOT,4080958407,NOT
NUM:232382196;OP:NOT,4062585099,NOT
NUM:362031458;OP:NOT,3932935837,NOT
NUM:251965896;OP:NOT,4043001399,NOT
NUM:755701143;OP:NOT,3539266152,NOT
NUM:459579075;OP:NOT,3835388220,NOT
NUM:0;OP:NOT,4294967295,NOT
NUM:441210926;OP:ECHO,441210926,ECHO
NUM:691768614;OP:ECHO,691768614,ECHO
NUM:45348322;OP:ECHO,45348322,ECHO
NUM:357572132;OP:ECHO,357572132,ECHO
NUM:790757573;OP:ECHO,790757573,ECHO
NUM:469271799;OP:ECHO,469271799,ECHO
NUM:542773950;OP:ECHO,542773950,ECHO
NUM:766399113;OP:ECHO,766399113,ECHO
NUM:694543203;OP:ECHO,694543203,ECHO
NUM:101323285;OP:ECHO,101323285,ECHO
NUM:318473862;OP:ECHO,318473862,ECHO
NUM:524815938;OP:ECHO,524815938,ECHO
NUM:819400253;OP:ECHO,819400253,ECHO
NUM:333877984;OP:ECHO,333877984,ECHO
NUM:746577733;OP:ECHO,746577733,ECHO
NUM:143703440;OP:ECHO,143703440,ECHO
NUM:695257506;OP:ECHO,695257506,ECHO
NUM:16898573;OP:ECHO,16898573,ECHO
NUM:711238073;OP:ECHO,711238073,ECHO
NUM:103182727;OP:ECHO,103182727,ECHO
NUM:915138603;OP:ECHO,915138603,ECHO
NUM:858768925;OP:ECHO,858768925,ECHO
NUM:785057667;OP:ECHO,785057667,ECHO
NUM:411765917;OP:ECHO,411765917,ECHO
NUM:590719204;OP:ECHO,590719204,ECHO
NUM:432476124;OP:ECHO,432476124,ECHO
NUM:927064746;OP:ECHO,927064746,ECHO
NUM:88569677;OP:ECHO,88569677,ECHO
NUM:487697243;OP:ECHO,487697243,ECHO
NUM:536692790;OP:ECHO,536692790,ECHO
NUM:202034096;OP:ECHO,202034096,ECHO
NUM:508764889;OP:ECHO,508764889,ECHO
NUM:193189878;OP:ECHO,193189878,ECHO
NUM:313455913;OP:ECHO,313455913,ECHO
NUM:678170904;OP:ECHO,678170904,ECHO
NUM:718537592;OP:ECHO,718537592,ECHO
NUM:996964531;OP:ECHO,996964531,ECHO
NUM:961864870;OP:ECHO,961864870,ECHO
NUM:214098434;OP:ECHO,214098434,ECHO
NUM:524719392;OP:ECHO,524719392,ECHO
NUM:0;OP:ECHO,0,ECHO
NUM:4975340;NUM:19368286;OP:XOR,23880626,XOR
NUM:73521573;NUM:516834874;OP:XOR,447717279,XOR
NUM:73832017;NUM:996567048;OP:XOR,1057029721,XOR
NUM:87619628;NUM:369185668;OP:XOR,322546600,XOR
NUM:100585828;NUM:54185889;OP:XOR,113516229,XOR
NUM:105315755;NUM:427925709;OP:XOR,533159270,XOR
NUM:148726684;NUM:998627629;OP:XOR,861452977,XOR
